Unique.ID,Lab.ID,Soil.ID,Soil.Order,Mass.class,Sieve.Size,Rep,Mass.actual,POXC.raw,POXC
1,A,1,Oxisol,2.5g,<2mm,a,2.51,209.05,209.05
2,A,1,Oxisol,2.5g,<2mm,b,2.5,248.06,248.06
3,A,1,Oxisol,2.5g,<2mm,c,2.5,256.74,256.74
4,A,1,Oxisol,2.5g,<2mm,d,2.5,282.76,282.76
5,A,1,Oxisol,2.5g,<2mm,e,2.51,269.54,269.54
6,A,1,Oxisol,2.5g,<0.5mm,a,2.52,277.07,277.07
7,A,1,Oxisol,2.5g,<0.5mm,b,2.52,313.22,313.22
8,A,1,Oxisol,2.5g,<0.5mm,c,2.52,326.99,326.99
9,A,1,Oxisol,2.5g,<0.5mm,d,2.5,333.08,333.08
10,A,1,Oxisol,2.5g,<0.5mm,e,2.5,329.61,329.61
11,A,1,Oxisol,0.75g,<2mm,a,0.75,219.59,219.59
12,A,1,Oxisol,0.75g,<2mm,b,0.75,323.7,323.7
13,A,1,Oxisol,0.75g,<2mm,c,0.75,335.26,335.26
14,A,1,Oxisol,0.75g,<2mm,d,0.75,369.96,369.96
15,A,1,Oxisol,0.75g,<2mm,e,0.75,341.05,341.05
16,A,1,Oxisol,0.75g,<0.5mm,a,0.75,173.32,173.32
17,A,1,Oxisol,0.75g,<0.5mm,b,0.75,329.48,329.48
18,A,1,Oxisol,0.75g,<0.5mm,c,0.75,312.13,312.13
19,A,1,Oxisol,0.75g,<0.5mm,d,0.75,323.7,323.7
20,A,1,Oxisol,0.75g,<0.5mm,e,0.75,375.75,375.75
21,A,2,Oxisol,2.5g,<2mm,a,2.51,-55.83, 
22,A,2,Oxisol,2.5g,<2mm,b,2.5,240.45,240.45
23,A,2,Oxisol,2.5g,<2mm,c,2.51,-236.78, 
24,A,2,Oxisol,2.5g,<2mm,d,2.51,210.47,210.47
25,A,2,Oxisol,2.5g,<2mm,e,2.5,-664.49, 
26,A,2,Oxisol,2.5g,<0.5mm,a,2.5,206.17,206.17
27,A,2,Oxisol,2.5g,<0.5mm,b,2.5,247.31,247.31
28,A,2,Oxisol,2.5g,<0.5mm,c,2.55,249.18,249.18
29,A,2,Oxisol,2.5g,<0.5mm,d,2.51,189.99,189.99
30,A,2,Oxisol,2.5g,<0.5mm,e,2.51,261.68,261.68
31,A,2,Oxisol,0.75g,<2mm,a,0.75,7.39,7.39
32,A,2,Oxisol,0.75g,<2mm,b,0.75,127.36,127.36
33,A,2,Oxisol,0.75g,<2mm,c,0.75,138.79,138.79
34,A,2,Oxisol,0.75g,<2mm,d,0.75,155.93,155.93
35,A,2,Oxisol,0.75g,<2mm,e,0.75,253.05,253.05
36,A,2,Oxisol,0.75g,<0.5mm,a,0.75,127.36,127.36
37,A,2,Oxisol,0.75g,<0.5mm,b,0.75,167.35,167.35
38,A,2,Oxisol,0.75g,<0.5mm,c,0.75,167.35,167.35
39,A,2,Oxisol,0.75g,<0.5mm,d,0.75,178.78,178.78
40,A,2,Oxisol,0.75g,<0.5mm,e,0.75,218.77,218.77
41,A,3,Oxisol,2.5g,<2mm,a,2.5,211.16,211.16
42,A,3,Oxisol,2.5g,<2mm,b,2.51,230.38,230.38
43,A,3,Oxisol,2.5g,<2mm,c,2.51,242.08,242.08
44,A,3,Oxisol,2.5g,<2mm,d,2.53,145.64,145.64
45,A,3,Oxisol,2.5g,<2mm,e,2.53,236.85,236.85
46,A,3,Oxisol,2.5g,<0.5mm,a,2.51,240.4,240.4
47,A,3,Oxisol,2.5g,<0.5mm,b,2.51,253.78,253.78
48,A,3,Oxisol,2.5g,<0.5mm,c,2.5,268.22,268.22
49,A,3,Oxisol,2.5g,<0.5mm,d,2.53,258.4,258.4
50,A,3,Oxisol,2.5g,<0.5mm,e,2.52,256.1,256.1
51,A,3,Oxisol,0.75g,<2mm,a,0.75,200.39,200.39
52,A,3,Oxisol,0.75g,<2mm,b,0.75,267.52,267.52
53,A,3,Oxisol,0.75g,<2mm,c,0.75,329.05,329.05
54,A,3,Oxisol,0.75g,<2mm,d,0.75,334.65,334.65
55,A,3,Oxisol,0.75g,<2mm,e,0.75,312.27,312.27
56,A,3,Oxisol,0.75g,<0.5mm,a,0.75,267.52,267.52
57,A,3,Oxisol,0.75g,<0.5mm,b,0.75,323.46,323.46
58,A,3,Oxisol,0.75g,<0.5mm,c,0.75,329.05,329.05
59,A,3,Oxisol,0.75g,<0.5mm,d,0.75,323.46,323.46
60,A,3,Oxisol,0.75g,<0.5mm,e,0.75,317.87,317.87
61,A,4,Vertisol,2.5g,<2mm,a,2.5,383.86,383.86
62,A,4,Vertisol,2.5g,<2mm,b,2.52,398.95,398.95
63,A,4,Vertisol,2.5g,<2mm,c,2.52,402.25,402.25
64,A,4,Vertisol,2.5g,<2mm,d,2.51,413.79,413.79
65,A,4,Vertisol,2.5g,<2mm,e,2.52,420.39,420.39
