Soil.ID,USDA.order,SOC.pct,C.N,pH,CEC,Sand.pct,Clay.pct,Silt.pct
1,Oxisol,1.65,12.69,5,9.1,7.881269191,71.64790174,20.47082907
2,Oxisol,0.58,9.67,8,12.51,24.25149701,47.9740519,27.7744511
3,Oxisol,1.4,11.67,5.6,11.57,7.415384615,69.43846154,23.14615385
4,Vertisol,1.76,14.67,7.7,31.99,8.125,44.625,47.25
5,Vertisol,1.57,11.21,6.1,25.3,26.89217759,39.16490486,33.94291755
6,Vertisol,0.99,12.38,7,31.07,13.5371179,54.03930131,32.42358079
7,Histosol,8.29,14.8,7.7,31.24,50.21878335,23.58057631,26.20064034
8,Histosol,37.68,25.29,5.3,2.02,50,12.5,37.5
9,Histosol,29.68,16.04,7.7,55.81,49.98552822,12.50361795,37.51085384
10,Inceptisol,3.34,10.77,4.8,8.86,41.39646465,10.19191919,48.41161616
11,Inceptisol,1.24,15.5,4.5,7.02,39.54545455,17.63257576,42.8219697
12,Inceptisol,1.48,11.38,6.6,21.35,31.08814741,28.0751992,40.83665339
13,Mollisol,3.65,14.6,6,26.88,15.56039173,31.6648531,52.77475517
14,Mollisol,1.14,10.36,8.1,15.25,6.647398844,27.4566474,65.89595376
15,Mollisol,3.1,12.4,6.1,14.68,32.97893681,28.3550652,38.66599799
16,Alfisol,1.11,10.09,8,17.39,10.50724638,25.56935818,63.92339545
17,Alfisol,0.92,8.36,6.5,19.09,29.16395223,22.76872964,48.06731813
18,Alfisol,2.35,10.22,5.7,26.6,20,30,50
19,Ultisol,0.83,,6.1,3,84.95531281,7.522343595,7.522343595
20,Ultisol,4.13,21.74,5.8,7.96,50.28131635,23.55095541,26.16772824
21,Ultisol,7.03,21.97,5.4,20.41,66.7890625,12.7734375,20.4375
22,Entisol,8.91,68.54,8.1,92.32,47.39634748,22.54442251,30.05923001
23,Entisol,0.89,8.9,7.3,21.11,41.75324675,20.25974026,37.98701299
24,Entisol,1.53,13.91,6.4,11.23,92.47758964,2.50747012,5.014940239
25,Andisol,8.02,19.56,6,9.37,68.01324503,10.66225166,21.32450331
26,Andisol,7.43,19.55,5.8,11.68,81.90677966,10.33898305,7.754237288
27,Andisol,4.43,21.1,6.3,10.53,74.29718876,7.710843373,17.99196787
28,Spodosol,6.22,13.23,4.7,10.03,91.83993399,0,8.160066007
29,Spodosol,2.25,25,4.4,3.67,94.98021761,0,5.019782394
30,Spodosol,2.73,11.87,5.7,24.81,89.95183044,2.512042389,7.536127168
31,Aridisol,1.28,9.85,7.8,24.89,36.44593254,0,63.55406746
32,Aridisol,0.73,12.17,7.1,18.88,67.11727184,0,32.88272816
33,Aridisol,0.21,,8.1,7.44,87.44019139,0,12.55980861
34,Gelisol ,17.49,19.87,6.9,24.95,24.3,48,27.7
35,Gelisol ,20.82,15.77,5.3,22.52,7.4,69.4,23.2
36,Gelisol ,32.76,29.78,5.2,31.66,8.1,44.6,47.3
